Date,TCS.NS,INFY.NS,HCLTECH.NS,TATASTEEL.NS,HINDALCO.NS,JINDALSTEL.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,NESTLEIND.NS
2025-02-12,3818.1962890625,1809.59619140625,1659.1561279296875,129.2654571533203,594.5399780273438,827.7079467773438,842.0184326171875,1242.2149658203125,388.3422546386719,2290.22265625,394.22222900390625,1086.416748046875
2025-02-13,3779.532470703125,1790.2681884765625,1645.436767578125,133.14498901367188,598.1137084960938,838.8358764648438,837.5291137695312,1239.337158203125,394.1056213378906,2279.42236328125,394.0299072265625,1078.39404296875
2025-02-14,3803.407470703125,1803.0401611328125,1653.310791015625,131.40554809570312,601.7868041992188,831.650146484375,836.1231079101562,1250.451416015625,390.03033447265625,2276.329345703125,394.558837890625,1087.456787109375
2025-02-17,3774.0712890625,1789.3455810546875,1652.006591796875,131.22964477539062,606.4028930664062,835.9915771484375,847.2230834960938,1241.5699462890625,388.6119384765625,2287.178955078125,392.97198486328125,1097.683349609375
2025-02-18,3743.816650390625,1798.7181396484375,1667.078369140625,131.47393798828125,606.9985961914062,845.2731323242188,850.0350952148438,1233.531982421875,392.2178039550781,2254.384521484375,389.7500915527344,1100.605224609375
2025-02-19,3657.693359375,1758.7509765625,1654.325439453125,132.6661376953125,621.740478515625,858.3970947265625,852.0823974609375,1251.9896240234375,396.5428161621094,2209.61083984375,390.8561096191406,1091.96337890625
2025-02-20,3653.150146484375,1772.6884765625,1630.413330078125,134.89418029785156,634.1494750976562,877.55908203125,832.2998046875,1240.379150390625,393.6561279296875,2207.303466796875,386.6724853515625,1092.854736328125
2025-02-21,3659.52978515625,1762.8302001953125,1643.1180419921875,137.5522003173828,648.7920532226562,878.6069946289062,834.9638061523438,1223.50927734375,390.16015625,2201.01953125,385.5664367675781,1096.9156494140625
2025-02-24,3552.817626953125,1713.3931884765625,1588.38623046875,134.51307678222656,637.2269287109375,860.5428466796875,827.366455078125,1209.0211181640625,392.76715087890625,2200.822998046875,386.5282287597656,1099.6146240234375
2025-02-25,3508.305908203125,1716.8896484375,1580.705322265625,133.94630432128906,614.9403686523438,855.1036376953125,829.9564819335938,1214.7767333984375,392.9969177246094,2218.349609375,389.3653869628906,1114.4715576171875
2025-02-27,3491.873779296875,1713.5875244140625,1574.0389404296875,135.5293731689453,627.349365234375,860.2933349609375,839.0091552734375,1213.0897216796875,389.0614318847656,2204.259521484375,386.23968505859375,1128.2391357421875
